mental_illness,Child Victims,Incident-Specific,Media & Info Control,Mental Illness & Law,Public Safety & Fear,Punishment & Justice
confirmed,2.73224043715847,14.207650273224044,0.0,64.48087431693989,13.661202185792352,4.918032786885246
alleged,13.88888888888889,15.277777777777779,2.7777777777777777,43.05555555555556,12.5,12.5
unclear,25.465838509316768,24.22360248447205,4.3478260869565215,3.1055900621118013,23.60248447204969,19.25465838509317
none,29.817444219066935,24.543610547667345,7.910750507099391,6.085192697768763,9.127789046653144,22.515212981744423
